project_id,link,keyword,status
965576,https://www.archdaily.com/965576/the-environment-museum-of-stymphalia-d-issaias-t-papaioannou-architects,q=Observatory,
971237,https://www.archdaily.com/971237/new-munch-museum-estudio-herreros,q=Observatory,
150481,https://www.archdaily.com/150481/extension-of-the-national-maritime-museum-c-f-m%25c3%25b8ller-architects,q=Observatory,
418650,https://www.archdaily.com/418650/museum-of-the-atacama-desert-coz-polidura-and-volante-arquitectos,q=Observatory,
1017772,https://www.archdaily.com/1017772/d-day-museum-projectiles,q=Observatory,
965203,https://www.archdaily.com/965203/shanghai-astronomy-museum-ennead-architects,q=Observatory,
785442,https://www.archdaily.com/785442/museum-of-tomorrow-santiago-calatrava,q=Observatory,
986120,https://www.archdaily.com/986120/national-museum-of-peru-muna-leonmarcial-arquitectos,q=Observatory,
134714,https://www.archdaily.com/134714/the-gardiner-museum-kpmb-architects,q=Observatory,
458375,https://www.archdaily.com/458375/new-maritime-museum-and-exploratorium-cobe-architects-transform-architects,q=Exploratorium,
910110,https://www.archdaily.com/910110/tianjin-binhai-exploratorium-bernard-tschumi-architects,q=Exploratorium,
778213,https://www.archdaily.com/778213/museumplein-limburg-kerkrade-shift-architecture-urbanism,q=Exploratorium,
1005112,https://www.archdaily.com/1005112/national-pavilion-of-biodiversity-fernanda-ahumada-plus-free,q=Biology,
980211,https://www.archdaily.com/980211/montreal-insectarium-kuehn-malvezzi,q=Biology,
615825,https://www.archdaily.com/615825/geology-museum-leemundwiler-architects,q=Biology,
1004421,https://www.archdaily.com/1004421/museo-de-geologia-estudio-mmx,q=Biology,
987488,https://www.archdaily.com/987488/pugong-mountain-geology-lime-mine-museum-professor-li-baofengs-studio-of-hust,q=Biology,
933698,https://www.archdaily.com/933698/zhejiang-museum-of-natural-history-david-chipperfield-architects,q=Biology,
909531,https://www.archdaily.com/909531/hacettepe-university-museum-and-center-for-biodiversity-erkal-architects,q=Biology,
771367,https://www.archdaily.com/771367/fangshan-tangshan-national-geopark-museum-studio-odile-decq,q=Biology,
995561,https://www.archdaily.com/995561/albert-kahn-museum-kengo-kuma-and-associates,q=Biology,
